R,G,B,red,pink,blue,white,light green,green,yellow,orange,light red
45,142,255,0,0,0,1,0,0,0,0,0
48,127,254,0,0,0,1,0,0,0,0,0
255,161,63,0,0,0,0,0,0,0,1,0
165,110,255,0,0,1,0,0,0,0,0,0
255,161,63,0,0,0,0,0,0,0,1,0
255,65,53,0,0,0,0,0,0,0,0,1
255,52,48,0,0,0,0,0,0,0,0,1
81,217,179,0,0,0,0,0,1,0,0,0
99,114,255,0,0,1,0,0,0,0,0,0
41,153,255,0,0,0,1,0,0,0,0,0
25,195,254,0,0,0,1,0,0,0,0,0
255,180,65,0,0,0,0,0,0,1,0,0
102,213,147,0,0,0,0,0,1,0,0,0
28,199,255,0,0,0,1,0,0,0,0,0
67,219,204,0,0,0,0,1,0,0,0,0
252,89,208,0,0,1,0,0,0,0,0,0
255,114,58,0,0,0,0,0,0,0,1,0
1,229,254,0,0,0,0,1,0,0,0,0
253,76,146,0,1,0,0,0,0,0,0,0
158,108,255,0,0,1,0,0,0,0,0,0
254,132,59,0,0,0,0,0,0,0,1,0
249,102,255,0,0,1,0,0,0,0,0,0
175,110,254,0,0,1,0,0,0,0,0,0
208,195,65,0,0,0,0,0,0,1,0,0
52,221,216,0,0,0,0,1,0,0,0,0
118,206,119,0,0,0,0,0,1,0,0,0
140,204,68,0,0,0,0,0,0,1,0,0
102,213,147,0,0,0,0,0,1,0,0,0
255,66,100,1,0,0,0,0,0,0,0,0
251,101,250,0,0,1,0,0,0,0,0,0
215,192,64,0,0,0,0,0,0,1,0,0
247,188,68,0,0,0,0,0,0,1,0,0
31,182,255,0,0,0,1,0,0,0,0,0
254,81,173,0,1,0,0,0,0,0,0,0
187,197,64,0,0,0,0,0,0,1,0,0
255,65,99,1,0,0,0,0,0,0,0,0
251,99,244,0,0,1,0,0,0,0,0,0
234,104,254,0,0,1,0,0,0,0,0,0
255,69,50,0,0,0,0,0,0,0,0,1
255,52,48,0,0,0,0,0,0,0,0,1
254,182,64,0,0,0,0,0,0,1,0,0
32,183,255,0,0,0,1,0,0,0,0,0
253,95,231,0,0,1,0,0,0,0,0,0
77,217,188,0,0,0,0,0,1,0,0,0
176,200,64,0,0,0,0,0,0,1,0,0
182,198,65,0,0,0,0,0,0,1,0,0
255,118,56,0,0,0,0,0,0,0,1,0
0,227,255,0,0,0,1,0,0,0,0,0
184,195,64,0,0,0,0,0,0,1,0,0
255,162,59,0,0,0,0,0,0,0,1,0
148,202,64,0,0,0,0,0,0,1,0,0
255,64,89,1,0,0,0,0,0,0,0,0
172,198,63,0,0,0,0,0,0,1,0,0
255,123,58,0,0,0,0,0,0,0,1,0
196,196,64,0,0,0,0,0,0,1,0,0
114,112,255,0,0,1,0,0,0,0,0,0
148,202,64,0,0,0,0,0,0,1,0,0
38,158,255,0,0,0,1,0,0,0,0,0
98,212,150,0,0,0,0,0,1,0,0,0
254,67,52,0,0,0,0,0,0,0,0,1
140,203,73,0,0,0,0,0,0,1,0,0
254,142,60,0,0,0,0,0,0,0,1,0
253,83,179,0,1,0,0,0,0,0,0,0
167,199,62,0,0,0,0,0,0,1,0,0
48,134,255,0,0,0,1,0,0,0,0,0
255,114,58,0,0,0,0,0,0,0,1,0
255,156,62,0,0,0,0,0,0,0,1,0
140,203,62,0,0,0,0,0,0,1,0,0
254,59,65,1,0,0,0,0,0,0,0,0
255,119,59,0,0,0,0,0,0,0,1,0
107,114,255,0,0,1,0,0,0,0,0,0
255,63,86,1,0,0,0,0,0,0,0,0
255,164,61,0,0,0,0,0,0,0,1,0
25,227,241,0,0,0,0,1,0,0,0,0
255,82,50,0,0,0,0,0,0,0,0,1
150,111,254,0,0,1,0,0,0,0,0,0
16,226,249,0,0,0,0,1,0,0,0,0
15,205,253,0,0,0,1,0,0,0,0,0
255,183,65,0,0,0,0,0,0,1,0,0
128,113,254,0,0,1,0,0,0,0,0,0
91,215,165,0,0,0,0,0,1,0,0,0
16,208,255,0,0,0,1,0,0,0,0,0
173,199,64,0,0,0,0,0,0,1,0,0
44,144,255,0,0,0,1,0,0,0,0,0
180,106,253,0,0,1,0,0,0,0,0,0
176,200,64,0,0,0,0,0,0,1,0,0
253,148,56,0,0,0,0,0,0,0,1,0
255,174,64,0,0,0,0,0,0,1,0,0
144,203,63,0,0,0,0,0,0,1,0,0
43,150,254,0,0,0,1,0,0,0,0,0
212,193,65,0,0,0,0,0,0,1,0,0
187,108,253,0,0,1,0,0,0,0,0,0
149,110,255,0,0,1,0,0,0,0,0,0
232,191,65,0,0,0,0,0,0,1,0,0
172,200,64,0,0,0,0,0,0,1,0,0
41,162,255,0,0,0,1,0,0,0,0,0
112,209,132,0,0,0,0,0,1,0,0,0
148,202,64,0,0,0,0,0,0,1,0,0
195,197,64,0,0,0,0,0,0,1,0,0
106,212,140,0,0,0,0,0,1,0,0,0
1,230,253,0,0,0,0,1,0,0,0,0
165,110,255,0,0,1,0,0,0,0,0,0
255,63,88,1,0,0,0,0,0,0,0,0
203,194,63,0,0,0,0,0,0,1,0,0
255,127,59,0,0,0,0,0,0,0,1,0
255,141,60,0,0,0,0,0,0,0,1,0
252,78,163,0,1,0,0,0,0,0,0,0
38,166,255,0,0,0,1,0,0,0,0,0
254,80,165,0,1,0,0,0,0,0,0,0
224,104,254,0,0,1,0,0,0,0,0,0
92,214,163,0,0,0,0,0,1,0,0,0
255,78,52,0,0,0,0,0,0,0,0,1
239,191,65,0,0,0,0,0,0,1,0,0
84,117,255,0,0,1,0,0,0,0,0,0
47,145,255,0,0,0,1,0,0,0,0,0
46,224,224,0,0,0,0,1,0,0,0,0
255,181,64,0,0,0,0,0,0,1,0,0
117,114,255,0,0,1,0,0,0,0,0,0
12,229,248,0,0,0,0,1,0,0,0,0
149,202,62,0,0,0,0,0,0,1,0,0
39,171,255,0,0,0,1,0,0,0,0,0
255,123,58,0,0,0,0,0,0,0,1,0
73,219,196,0,0,0,0,1,0,0,0,0
195,197,64,0,0,0,0,0,0,1,0,0
254,62,77,1,0,0,0,0,0,0,0,0
152,110,254,0,0,1,0,0,0,0,0,0
34,173,254,0,0,0,1,0,0,0,0,0
12,229,248,0,0,0,0,1,0,0,0,0
255,170,64,0,0,0,0,0,0,1,0,0
92,214,163,0,0,0,0,0,1,0,0,0
166,111,254,0,0,1,0,0,0,0,0,0
157,201,64,0,0,0,0,0,0,1,0,0
255,75,52,0,0,0,0,0,0,0,0,1
7,229,250,0,0,0,0,1,0,0,0,0
21,201,254,0,0,0,1,0,0,0,0,0
254,88,196,0,0,1,0,0,0,0,0,0
173,109,255,0,0,1,0,0,0,0,0,0
255,105,54,0,0,0,0,0,0,0,1,0
255,67,105,1,0,0,0,0,0,0,0,0
28,187,255,0,0,0,1,0,0,0,0,0
255,62,70,1,0,0,0,0,0,0,0,0
255,58,52,1,0,0,0,0,0,0,0,0
92,214,163,0,0,0,0,0,1,0,0,0
255,52,48,0,0,0,0,0,0,0,0,1
254,176,65,0,0,0,0,0,0,1,0,0
255,89,201,0,0,1,0,0,0,0,0,0
35,176,255,0,0,0,1,0,0,0,0,0
254,75,52,0,0,0,0,0,0,0,0,1
70,219,200,0,0,0,0,1,0,0,0,0
254,60,50,0,0,0,0,0,0,0,0,1
250,101,253,0,0,1,0,0,0,0,0,0
22,202,253,0,0,0,1,0,0,0,0,0
19,210,255,0,0,0,1,0,0,0,0,0
124,207,103,0,0,0,0,0,0,1,0,0
254,85,54,0,0,0,0,0,0,0,0,1
189,196,64,0,0,0,0,0,0,1,0,0
249,102,255,0,0,1,0,0,0,0,0,0
111,209,124,0,0,0,0,0,1,0,0,0
255,108,56,0,0,0,0,0,0,0,1,0
236,192,67,0,0,0,0,0,0,1,0,0
31,183,255,0,0,0,1,0,0,0,0,0
0,231,254,0,0,0,0,1,0,0,0,0
255,98,53,0,0,0,0,0,0,0,0,1
53,222,219,0,0,0,0,1,0,0,0,0
255,64,89,1,0,0,0,0,0,0,0,0
148,202,64,0,0,0,0,0,0,1,0,0
255,75,146,0,1,0,0,0,0,0,0,0
220,104,253,0,0,1,0,0,0,0,0,0
78,116,253,0,0,1,0,0,0,0,0,0
43,131,254,0,0,0,1,0,0,0,0,0
141,202,63,0,0,0,0,0,0,1,0,0
254,72,50,0,0,0,0,0,0,0,0,1
255,146,61,0,0,0,0,0,0,0,1,0
13,210,255,0,0,0,1,0,0,0,0,0
32,227,233,0,0,0,0,1,0,0,0,0
27,192,255,0,0,0,1,0,0,0,0,0
250,189,64,0,0,0,0,0,0,1,0,0
252,89,204,0,0,1,0,0,0,0,0,0
237,192,65,0,0,0,0,0,0,1,0,0
18,211,254,0,0,0,1,0,0,0,0,0
251,99,243,0,0,1,0,0,0,0,0,0
255,52,48,0,0,0,0,0,0,0,0,1
18,211,254,0,0,0,1,0,0,0,0,0
21,201,254,0,0,0,1,0,0,0,0,0
255,78,52,0,0,0,0,0,0,0,0,1
255,71,133,0,1,0,0,0,0,0,0,0
102,211,144,0,0,0,0,0,1,0,0,0
148,202,64,0,0,0,0,0,0,1,0,0
115,208,119,0,0,0,0,0,1,0,0,0
146,203,64,0,0,0,0,0,0,1,0,0
255,81,168,0,1,0,0,0,0,0,0,0
254,182,64,0,0,0,0,0,0,1,0,0
247,188,68,0,0,0,0,0,0,1,0,0
39,167,255,0,0,0,1,0,0,0,0,0
139,203,67,0,0,0,0,0,0,1,0,0
50,118,253,0,0,1,0,0,0,0,0,0
141,202,63,0,0,0,0,0,0,1,0,0
255,133,58,0,0,0,0,0,0,0,1,0
148,109,254,0,0,1,0,0,0,0,0,0
29,188,254,0,0,0,1,0,0,0,0,0
254,75,143,0,1,0,0,0,0,0,0,0
254,130,58,0,0,0,0,0,0,0,1,0
8,216,254,0,0,0,1,0,0,0,0,0
81,217,179,0,0,0,0,0,1,0,0,0
222,192,62,0,0,0,0,0,0,1,0,0
226,191,65,0,0,0,0,0,0,1,0,0
254,81,173,0,1,0,0,0,0,0,0,0
253,79,164,0,1,0,0,0,0,0,0,0
71,218,192,0,0,0,0,0,1,0,0,0
253,93,225,0,0,1,0,0,0,0,0,0
255,80,51,0,0,0,0,0,0,0,0,1
252,89,204,0,0,1,0,0,0,0,0,0
37,165,255,0,0,0,1,0,0,0,0,0
50,120,254,0,0,1,0,0,0,0,0,0
42,224,225,0,0,0,0,1,0,0,0,0
24,197,253,0,0,0,1,0,0,0,0,0
165,199,63,0,0,0,0,0,0,1,0,0
255,173,63,0,0,0,0,0,0,1,0,0
226,191,65,0,0,0,0,0,0,1,0,0
254,182,64,0,0,0,0,0,0,1,0,0
82,217,184,0,0,0,0,0,1,0,0,0
141,203,68,0,0,0,0,0,0,1,0,0
73,219,196,0,0,0,0,1,0,0,0,0
172,198,63,0,0,0,0,0,0,1,0,0
73,219,196,0,0,0,0,1,0,0,0,0
234,104,254,0,0,1,0,0,0,0,0,0
234,104,254,0,0,1,0,0,0,0,0,0
3,223,255,0,0,0,1,0,0,0,0,0
155,110,255,0,0,1,0,0,0,0,0,0
21,201,254,0,0,0,1,0,0,0,0,0
255,52,48,0,0,0,0,0,0,0,0,1
43,131,254,0,0,0,1,0,0,0,0,0
254,75,143,0,1,0,0,0,0,0,0,0
91,215,165,0,0,0,0,0,1,0,0,0
31,184,254,0,0,0,1,0,0,0,0,0
189,196,64,0,0,0,0,0,0,1,0,0
187,108,253,0,0,1,0,0,0,0,0,0
136,111,255,0,0,1,0,0,0,0,0,0
43,225,228,0,0,0,0,1,0,0,0,0
240,103,255,0,0,1,0,0,0,0,0,0
181,197,64,0,0,0,0,0,0,1,0,0
128,206,96,0,0,0,0,0,0,1,0,0
7,229,250,0,0,0,0,1,0,0,0,0
252,89,208,0,0,1,0,0,0,0,0,0
32,226,235,0,0,0,0,1,0,0,0,0
67,219,204,0,0,0,0,1,0,0,0,0
250,101,253,0,0,1,0,0,0,0,0,0
32,178,255,0,0,0,1,0,0,0,0,0
59,118,255,0,0,1,0,0,0,0,0,0
148,202,64,0,0,0,0,0,0,1,0,0
73,219,196,0,0,0,0,1,0,0,0,0
191,107,254,0,0,1,0,0,0,0,0,0
253,82,176,0,1,0,0,0,0,0,0,0
255,180,65,0,0,0,0,0,0,1,0,0
202,194,67,0,0,0,0,0,0,1,0,0
254,79,172,0,1,0,0,0,0,0,0,0
30,184,254,0,0,0,1,0,0,0,0,0
253,96,237,0,0,1,0,0,0,0,0,0
161,109,254,0,0,1,0,0,0,0,0,0
182,198,65,0,0,0,0,0,0,1,0,0
5,230,250,0,0,0,0,1,0,0,0,0
138,111,254,0,0,1,0,0,0,0,0,0
1,229,254,0,0,0,0,1,0,0,0,0
13,210,255,0,0,0,1,0,0,0,0,0
47,124,255,0,0,1,0,0,0,0,0,0
100,214,154,0,0,0,0,0,1,0,0,0
42,224,225,0,0,0,0,1,0,0,0,0
148,202,64,0,0,0,0,0,0,1,0,0
216,103,253,0,0,1,0,0,0,0,0,0
255,59,61,1,0,0,0,0,0,0,0,0
96,214,156,0,0,0,0,0,1,0,0,0
187,109,255,0,0,1,0,0,0,0,0,0
255,69,118,0,1,0,0,0,0,0,0,0
203,193,62,0,0,0,0,0,0,1,0,0
23,196,255,0,0,0,1,0,0,0,0,0
45,135,255,0,0,0,1,0,0,0,0,0
205,195,64,0,0,0,0,0,0,1,0,0
210,106,255,0,0,1,0,0,0,0,0,0
255,91,54,0,0,0,0,0,0,0,0,1
29,227,238,0,0,0,0,1,0,0,0,0
148,202,64,0,0,0,0,0,0,1,0,0
142,203,63,0,0,0,0,0,0,1,0,0
255,58,49,0,0,0,0,0,0,0,0,1
252,100,247,0,0,1,0,0,0,0,0,0
254,83,53,0,0,0,0,0,0,0,0,1
112,211,129,0,0,0,0,0,1,0,0,0
255,161,63,0,0,0,0,0,0,0,1,0
83,215,175,0,0,0,0,0,1,0,0,0
41,154,255,0,0,0,1,0,0,0,0,0
34,175,255,0,0,0,1,0,0,0,0,0
239,189,64,0,0,0,0,0,0,1,0,0
140,203,73,0,0,0,0,0,0,1,0,0
23,197,255,0,0,0,1,0,0,0,0,0
74,117,255,0,0,1,0,0,0,0,0,0
250,189,64,0,0,0,0,0,0,1,0,0
93,214,161,0,0,0,0,0,1,0,0,0
208,195,65,0,0,0,0,0,0,1,0,0
123,208,105,0,0,0,0,0,1,0,0,0
154,201,61,0,0,0,0,0,0,1,0,0
133,204,84,0,0,0,0,0,0,1,0,0
255,136,58,0,0,0,0,0,0,0,1,0
79,217,184,0,0,0,0,0,1,0,0,0
158,109,253,0,0,1,0,0,0,0,0,0
203,193,62,0,0,0,0,0,0,1,0,0
185,196,65,0,0,0,0,0,0,1,0,0
93,214,161,0,0,0,0,0,1,0,0,0
120,207,113,0,0,0,0,0,1,0,0,0
60,117,255,0,0,1,0,0,0,0,0,0
34,175,255,0,0,0,1,0,0,0,0,0
254,70,122,0,1,0,0,0,0,0,0,0
26,194,255,0,0,0,1,0,0,0,0,0
46,144,255,0,0,0,1,0,0,0,0,0
135,203,82,0,0,0,0,0,0,1,0,0
34,173,254,0,0,0,1,0,0,0,0,0
48,120,254,0,0,1,0,0,0,0,0,0
83,218,178,0,0,0,0,0,1,0,0,0
5,217,254,0,0,0,1,0,0,0,0,0
254,57,49,1,0,0,0,0,0,0,0,0
63,221,206,0,0,0,0,1,0,0,0,0
208,193,64,0,0,0,0,0,0,1,0,0
239,189,64,0,0,0,0,0,0,1,0,0
36,167,255,0,0,0,1,0,0,0,0,0
32,178,255,0,0,0,1,0,0,0,0,0
255,78,156,0,1,0,0,0,0,0,0,0
255,174,64,0,0,0,0,0,0,1,0,0
202,195,63,0,0,0,0,0,0,1,0,0
255,82,174,0,1,0,0,0,0,0,0,0
38,158,255,0,0,0,1,0,0,0,0,0
31,182,255,0,0,0,1,0,0,0,0,0
252,89,208,0,0,1,0,0,0,0,0,0
49,123,254,0,0,1,0,0,0,0,0,0
34,173,254,0,0,0,1,0,0,0,0,0
88,216,168,0,0,0,0,0,1,0,0,0
222,192,62,0,0,0,0,0,0,1,0,0
252,93,222,0,0,1,0,0,0,0,0,0
48,130,255,0,0,0,1,0,0,0,0,0
255,77,155,0,1,0,0,0,0,0,0,0
255,78,156,0,1,0,0,0,0,0,0,0
131,206,88,0,0,0,0,0,0,1,0,0
255,147,60,0,0,0,0,0,0,0,1,0
108,212,137,0,0,0,0,0,1,0,0,0
204,195,64,0,0,0,0,0,0,1,0,0
254,85,184,0,1,0,0,0,0,0,0,0
38,166,255,0,0,0,1,0,0,0,0,0
247,189,64,0,0,0,0,0,0,1,0,0
67,220,199,0,0,0,0,1,0,0,0,0
180,198,64,0,0,0,0,0,0,1,0,0
255,138,58,0,0,0,0,0,0,0,1,0
211,193,65,0,0,0,0,0,0,1,0,0
253,129,57,0,0,0,0,0,0,0,1,0
157,109,255,0,0,1,0,0,0,0,0,0
37,167,255,0,0,0,1,0,0,0,0,0
35,176,255,0,0,0,1,0,0,0,0,0
42,149,255,0,0,0,1,0,0,0,0,0
251,100,253,0,0,1,0,0,0,0,0,0
241,190,65,0,0,0,0,0,0,1,0,0
149,111,255,0,0,1,0,0,0,0,0,0
252,89,208,0,0,1,0,0,0,0,0,0
253,59,49,0,0,0,0,0,0,0,0,1
49,123,255,0,0,1,0,0,0,0,0,0
187,197,62,0,0,0,0,0,0,1,0,0
55,119,255,0,0,1,0,0,0,0,0,0
31,184,254,0,0,0,1,0,0,0,0,0
5,219,253,0,0,0,1,0,0,0,0,0
89,215,168,0,0,0,0,0,1,0,0,0
255,58,55,1,0,0,0,0,0,0,0,0
51,224,222,0,0,0,0,1,0,0,0,0
129,206,90,0,0,0,0,0,0,1,0,0
75,219,186,0,0,0,0,0,1,0,0,0
177,198,67,0,0,0,0,0,0,1,0,0
254,88,196,0,0,1,0,0,0,0,0,0
239,189,64,0,0,0,0,0,0,1,0,0
41,153,255,0,0,0,1,0,0,0,0,0
33,181,253,0,0,0,1,0,0,0,0,0
99,114,255,0,0,1,0,0,0,0,0,0
214,104,253,0,0,1,0,0,0,0,0,0
55,119,255,0,0,1,0,0,0,0,0,0
253,84,183,0,1,0,0,0,0,0,0,0
116,208,121,0,0,0,0,0,1,0,0,0
226,193,64,0,0,0,0,0,0,1,0,0
240,192,66,0,0,0,0,0,0,1,0,0
255,123,58,0,0,0,0,0,0,0,1,0
232,105,255,0,0,1,0,0,0,0,0,0
35,176,255,0,0,0,1,0,0,0,0,0
255,119,59,0,0,0,0,0,0,0,1,0
255,72,128,0,1,0,0,0,0,0,0,0
47,145,255,0,0,0,1,0,0,0,0,0
43,150,254,0,0,0,1,0,0,0,0,0
106,212,140,0,0,0,0,0,1,0,0,0
253,59,49,0,0,0,0,0,0,0,0,1
69,221,198,0,0,0,0,1,0,0,0,0
46,144,255,0,0,0,1,0,0,0,0,0
255,168,65,0,0,0,0,0,0,1,0,0
142,203,63,0,0,0,0,0,0,1,0,0
250,189,64,0,0,0,0,0,0,1,0,0
123,114,255,0,0,1,0,0,0,0,0,0
255,123,58,0,0,0,0,0,0,0,1,0
164,200,64,0,0,0,0,0,0,1,0,0
0,225,255,0,0,0,1,0,0,0,0,0
255,56,51,0,0,0,0,0,0,0,0,1
107,114,255,0,0,1,0,0,0,0,0,0
89,215,167,0,0,0,0,0,1,0,0,0
203,193,62,0,0,0,0,0,0,1,0,0
255,127,59,0,0,0,0,0,0,0,1,0
138,111,254,0,0,1,0,0,0,0,0,0
255,52,48,0,0,0,0,0,0,0,0,1
108,211,140,0,0,0,0,0,1,0,0,0
184,197,65,0,0,0,0,0,0,1,0,0
154,201,63,0,0,0,0,0,0,1,0,0
199,196,65,0,0,0,0,0,0,1,0,0
71,218,192,0,0,0,0,0,1,0,0,0
255,110,53,0,0,0,0,0,0,0,1,0
210,106,255,0,0,1,0,0,0,0,0,0
249,189,67,0,0,0,0,0,0,1,0,0
255,62,70,1,0,0,0,0,0,0,0,0
255,168,65,0,0,0,0,0,0,1,0,0
28,191,255,0,0,0,1,0,0,0,0,0
252,101,254,0,0,1,0,0,0,0,0,0
255,98,53,0,0,0,0,0,0,0,0,1
222,192,62,0,0,0,0,0,0,1,0,0
119,206,109,0,0,0,0,0,1,0,0,0
159,200,62,0,0,0,0,0,0,1,0,0
255,158,61,0,0,0,0,0,0,0,1,0
158,109,253,0,0,1,0,0,0,0,0,0
176,108,255,0,0,1,0,0,0,0,0,0
0,227,255,0,0,0,1,0,0,0,0,0
38,225,234,0,0,0,0,1,0,0,0,0
31,183,255,0,0,0,1,0,0,0,0,0
251,102,254,0,0,1,0,0,0,0,0,0
143,202,62,0,0,0,0,0,0,1,0,0
89,215,167,0,0,0,0,0,1,0,0,0
13,217,254,0,0,0,1,0,0,0,0,0
34,173,254,0,0,0,1,0,0,0,0,0
112,209,132,0,0,0,0,0,1,0,0,0
254,56,53,0,0,0,0,0,0,0,0,1
255,70,50,0,0,0,0,0,0,0,0,1
33,179,254,0,0,0,1,0,0,0,0,0
49,119,253,0,0,1,0,0,0,0,0,0
38,225,234,0,0,0,0,1,0,0,0,0
81,217,179,0,0,0,0,0,1,0,0,0
255,63,88,1,0,0,0,0,0,0,0,0
251,99,244,0,0,1,0,0,0,0,0,0
198,195,64,0,0,0,0,0,0,1,0,0
232,105,255,0,0,1,0,0,0,0,0,0
